evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
500,500,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-299.03353561268756,-0.1269269707685764,5,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502]","[100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569]","[100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10]"
500,500,0.6686028829912278,0.60836899631856,0.4367175036683264,0.07236008627111787,2.8660454863811244,0.4788773233085729,5.9982162352430906E-5,65.48536825718878,-555.8088687905235,-0.18849517064761717,1,"[5.9982162352430906E-5]","[0.60836899631856]","[0.4367175036683264]","[5.129338457340696E-7]","[0.11110959233152866]","[2.8660454863811244]","[65.48536825718878]","[-555.8088687905235]","[0.6686028829912278]","[561.2768464918883]","[100]","[-0.18849517064761717]","[0.02494495880111087]","[100]","[0.07236008627111787]","[10]","[-9194866620577076033]","[0.4788773233085729]","[10]"
500,500,0.1590954690610818,0.5063501200198064,0.7942196803397267,0.0,2.4548151651309813,0.5557702998715736,5.7833618792044345E-5,0.1,-107.18626047369895,-0.4733976275087679,3,"[5.7833618792044345E-5,5.7833618792044345E-5,5.7833618792044345E-5]","[0.5063501200198064,0.5063501200198064,0.5063501200198064]","[0.7942196803397267,0.7942196803397267,0.7942196803397267]","[0.0,0.0,0.0]","[0.10425643560647097,0.10105102247616454,0.10346851632334499]","[2.4548151651309813,2.4548151651309813,2.4548151651309813]","[0.1,0.1,0.1]","[-120.63689372827857,-70.97568451956188,-107.18626047369895]","[0.1590954690610818,0.1590954690610818,0.1590954690610818]","[256.0120556448024,161.72870888387178,212.87639693386393]","[100,100,100]","[-0.47575843847573723,-0.4733976275087679,-0.42094802444789214]","[0.7967359347337503,1.533763734950043,0.8549545024811331]","[100,100,100]","[0.0,0.0,0.0]","[10,10,10]","[-4443273301522989359,-5543489130923219848,5590258278601275160]","[0.5557702998715736,0.5557702998715736,0.5557702998715736]","[10,10,10]"
500,500,1.7519639839896,0.28311729771943694,0.0,0.1747090421421033,1.711471421409987,0.443601307403835,6.0508652816123876E-5,99.37163541385931,933.9050179442224,-0.14419482836819253,4,"[6.0508652816123876E-5,6.0508652816123876E-5,6.0508652816123876E-5,6.0508652816123876E-5]","[0.28311729771943694,0.28311729771943694,0.28311729771943694,0.28311729771943694]","[0.0,0.0,0.0,0.0]","[7.300056306314892E-7,6.755275984948109E-7,9.152309398961954E-7,7.517968434861605E-7]","[0.10029929753145753,0.09978806991499099,0.09829969791640275,0.0940710791862147]","[1.711471421409987,1.711471421409987,1.711471421409987,1.711471421409987]","[99.37163541385931,99.37163541385931,99.37163541385931,99.37163541385931]","[912.4681940000733,931.6257998736294,936.1842360148156,1067.4494075811929]","[1.7519639839896,1.7519639839896,1.7519639839896,1.7519639839896]","[379.3175186405219,456.28336066063355,308.2535714114508,294.2819751324613]","[100,100,100,100]","[-0.14539061808586737,-0.14398118885386038,-0.14440846788252465,-0.14346575467197603]","[8.10335585887263,6.321836922641926,8.897228895801579,9.252022441168625]","[100,100,100,100]","[0.1747090421421033,0.1747090421421033,0.1747090421421033,0.1747090421421033]","[10,10,10,10]","[-7761380210800515143,-8173908413253470951,-3365014636299278811,-1808737638973232334]","[0.443601307403835,0.443601307403835,0.443601307403835,0.443601307403835]","[10,10,10,10]"
500,500,1.219317529760768,0.589509983731647,0.32507016684377793,0.001017862363387955,0.22178957210785477,0.5307539386026596,4.463047758946697E-5,32.655909702158226,-142.26265210727013,-0.4503585751668705,1,"[4.463047758946697E-5]","[0.589509983731647]","[0.32507016684377793]","[1.452904211681635E-7]","[0.09652835924137307]","[0.22178957210785477]","[32.655909702158226]","[-142.26265210727013]","[1.219317529760768]","[428.68818559928695]","[100]","[-0.4503585751668705]","[1.397298996449724]","[100]","[0.001017862363387955]","[10]","[-3837626953231978590]","[0.5307539386026596]","[10]"
500,500,0.4106529042276459,0.9663339446097938,0.592926017263757,0.9848114631091006,0.0,0.8850300120634655,6.04379883037421E-5,7.6573657082621684,-153.84284123894093,-0.3990816653396349,2,"[6.04379883037421E-5,6.04379883037421E-5]","[0.9663339446097938,0.9663339446097938]","[0.592926017263757,0.592926017263757]","[4.286463414781463E-8,2.3380709535171625E-8]","[0.1031971555675683,0.0991371480342152]","[0.0,0.0]","[7.6573657082621684,7.6573657082621684]","[-172.53154340628694,-135.1541390715949]","[0.4106529042276459,0.4106529042276459]","[288.7013515390655,353.4612491042532]","[100,100]","[-0.3473588468372119,-0.4508044838420579]","[0.8266284050612448,1.1290050390937199]","[100,100]","[0.9848114631091006,0.9848114631091006]","[10,10]","[-7127731147270277347,-1493255252419101104]","[0.8850300120634655,0.8850300120634655]","[10,10]"
500,500,0.1,0.4822715257209974,0.8520832638562021,0.0,2.413659077711325,0.5434129456767554,5.3900064126289215E-5,0.6673773051867522,-114.15231458627285,-0.46862628865083616,1,"[5.3900064126289215E-5]","[0.4822715257209974]","[0.8520832638562021]","[0.0]","[0.10069442789301769]","[2.413659077711325]","[0.6673773051867522]","[-114.15231458627285]","[0.1]","[222.86662240397123]","[100]","[-0.46862628865083616]","[1.2424081206399467]","[100]","[0.0]","[10]","[6231556852570730402]","[0.5434129456767554]","[10]"
500,500,1.2638710413900476,0.0,0.0545158839773789,0.07106247044562483,1.5636696913582793,0.4104418916074453,7.213266568980094E-5,95.44562179680709,-325.20420410364545,-0.4452171430608714,1,"[7.213266568980094E-5]","[0.0]","[0.0545158839773789]","[8.373189803476867E-7]","[0.10780431003019793]","[1.5636696913582793]","[95.44562179680709]","[-325.20420410364545]","[1.2638710413900476]","[455.28354178032924]","[100]","[-0.4452171430608714]","[0.7451981780149057]","[100]","[0.07106247044562483]","[10]","[-6195383973801968567]","[0.4104418916074453]","[10]"
500,500,0.7208543993910962,0.6068754364170464,0.47260511583361403,0.0704407762278946,2.892244255853454,0.48278284912726344,5.5030423636314254E-5,56.45606428826222,-544.9922611449391,-0.3134467588812893,1,"[5.5030423636314254E-5]","[0.6068754364170464]","[0.47260511583361403]","[4.4296967471452034E-7]","[0.11110791350076826]","[2.892244255853454]","[56.45606428826222]","[-544.9922611449391]","[0.7208543993910962]","[555.1055437975108]","[100]","[-0.3134467588812893]","[0.04048176151008864]","[100]","[0.0704407762278946]","[10]","[8429609028525075958]","[0.48278284912726344]","[10]"
500,500,0.218481560376859,0.526083497602931,0.9836136851614578,0.001298714292053688,1.7764820468614004,0.5443895609998851,5.104618367085396E-5,1.5219068082296394,-215.32434014161794,-0.44569504513115726,1,"[5.104618367085396E-5]","[0.526083497602931]","[0.9836136851614578]","[0.0]","[0.10971478852793057]","[1.7764820468614004]","[1.5219068082296394]","[-215.32434014161794]","[0.218481560376859]","[351.8922009499387]","[100]","[-0.44569504513115726]","[0.5292292941681155]","[100]","[0.001298714292053688]","[10]","[-6958428871922441614]","[0.5443895609998851]","[10]"
